id;avg_aces;avg_double_faults;avg_service_points;avg_first_serve_in;avg_first_serve_won;avg_second_serve_won;avg_service_games;avg_saved_break_points;avg_faced_break_points
1;10190;71032;4731;88585;82914;74105;98580;91950;55336
2;89251;42847;91624;64565;58071;32931;45086;22739;31502
3;38097;72936;10465;56645;97138;96824;10726;59381;4104
4;19749;36923;15452;72227;69913;90810;35118;61889;20956
5;32485;34835;93005;48608;31544;50109;38768;41768;64791
6;66394;68162;51464;25733;90678;20631;78827;20010;99748
7;25390;28528;6538;26595;47115;89481;73312;31534;18925
8;71076;27062;98916;50853;68937;1379;89577;83171;2914
9;38220;41133;4501;81951;47889;76496;29494;56997;99915
10;83686;59202;96311;71070;62521;10549;12786;57270;45118
