id;match_number;score;best_of;match_round;minutes
1;38520;Grocery;56337;24 Towels copy;95602
2;23206;info-mediaries JBOD evolve;26939;Liaison lavender deposit;96240
3;68947;Wyoming;12060;Analyst morph Alabama;99475
4;79784;expedite Electronics;64194;architectures;84297
5;51026;turn-key Rubber;64125;Outdoors overriding Ergonomic;82273
6;52568;motivating connecting cross-platform;34980;mobile transparent eco-centric;991
7;78876;e-business Bedfordshire transmit;94104;hack;20114
8;70633;Robust;47800;PCI Diverse;35713
9;96807;transmitter mission-critical SAS;16306;Metrics;97953
10;94179;Factors copying;64915;regional pink Avon;52254
