id;name;hand;height;nationality;age
1;Massachusetts Borders Bacon;engage;33167;online Cyprus Supervisor;87167
2;Electronics Lock;Burundi Rustic;5097;Soap;73287
3;Rubber vertical;Oklahoma invoice user-centric;2865;Regional;97234
4;Louisiana Kansas;Ergonomic Security invoice;378;alarm;86512
5;Money;bus bottom-line 24/365;90760;Internal;86491
6;quantify Applications;maroon scale users;34041;hybrid backing Czech;39962
7;Moroccan Home Buckinghamshire;Licensed zero;80136;payment Cotton;73174
8;Mouse Frozen;Berkshire synthesize contingency;74980;bypassing Sleek SMTP;79368
9;loyalty;Rubber International;79876;Developer Garden;16235
10;orange Dynamic;deposit synthesize Planner;7063;United initiatives;29712
