id;aces;double_faults;service_points;first_serve_in;first_serve_won;second_serve_won;service_games;saved_break_points;faced_break_points
1;10125;22583;6149;16429;39298;75064;46090;68137;12345
2;7088;26728;49957;62524;81738;13800;19992;84215;34792
3;74099;780;50482;57063;5711;25190;72870;75498;38052
4;86047;58780;72634;52236;37755;14933;19022;87113;74100
5;19001;17686;75379;71895;35705;76899;4298;51114;80154
6;70696;12198;13630;69;77125;84254;69834;76309;19866
7;26264;37714;35971;70702;2264;95640;97518;9755;32221
8;56964;90868;19364;6830;44459;90924;10034;5181;38233
9;36788;30126;31107;1817;42428;29660;12191;45737;90464
10;59152;46551;84645;78077;59516;69881;11721;20371;96266
